"spcode6","sci_name","plantfgroup","site_id","annual_rainfall_mm","layer_abundance","nitrogen_per","phosphorus_per","potassium_per","calcium_per","magnesium_per","sodium_per"
"the tri","Themeda triandra","grass","7",898,21,1.4,0.13,1.102,0.329,0.122,0.008
"cmm sp","Commelina","forb","7",898,18,2.14,0.205,3.284,1.914,0.344,0.02
"rhy sp1",NA,"forb","7",898,18,2.46,0.181,2.434,0.492,0.26,0.029
"for 027","for 027","forb","7",898,16,2.66,0.353,2.957,1.714,0.331,0.008
"cyn sp","Cynodon","grass","7",898,15,1.45,0.3,1.563,0.45,0.151,0.007
"cha mim","Chamaecrista mimosoides","forb","7",898,14,2.97,0.175,1.151,0.672,0.191,0.019
"uro dic","Urochloa dictyoneura","grass","7",898,14,1.37,0.278,2.124,0.164,0.246,0.038
"ort par","Orthosiphon parvifolius","forb","7",898,12,2.48,0.353,3.349,2.757,0.429,0.006
"emi coc","Emilia coccinea","forb","7",898,10,3,0.389,6.4,2.084,0.407,0.016
"ble aca","Blepharis acanthodioides","forb","7",898,8,1.98,0.221,3.675,0.761,0.324,0.005
"hyp fil","Hyparrhenia filipendula","grass","7",898,8,1.49,0.138,1.323,0.337,0.159,0.016
"hib sp","Hibiscus sp","forb","7",898,5,2.02,0.335,1.332,0.854,0.4,0.039
"dig aby","Digitaria abyssinica","grass","7",898,2,1.62,0.32,2.836,0.263,0.163,0.009
"the tri","Themeda triandra","grass","8",949,80,1.36,0.163,1.518,0.258,0.163,0.011
"spo afr","Sporobolus africanus","grass","8",949,25,1.22,0.174,1.402,0.328,0.079,0.027
"uro sp","Urochloa species","grass","8",949,22,1.35,0.238,2.005,0.285,0.303,0.09
"chl gay","Chloris gayana","grass","8",949,17,1.55,0.198,1.591,0.509,0.371,0.009
"jus mat","Justicia matammensis","forb","8",949,16,2.53,0.222,4.799,3.319,2.197,0.009
"cyn sp","Cynodon","grass","8",949,14,1.7,0.172,1.399,0.525,0.254,0.014
"spo pyr","Sporobolus pyramidalis","grass","8",949,10,1.25,0.176,1.771,0.34,0.111,0.018
"cen mez","Cenchrus mezianus","grass","8",949,8,1.28,0.227,3.019,0.398,0.276,0.033
"sol inc","Solanum incanum","forb","8",949,1,2.02,0.289,2.652,0.61,0.367,0.015
"the tri","Themeda triandra","grass","9",999,72,1.68,0.212,1.13,0.39,0.195,0.009
"spo pel","Sporobolus pellucidus","grass","9",999,37,1.44,0.191,1.667,0.239,0.136,0.009
"het con","Heteropogon contortus","grass","9",999,32,1.39,0.105,1.016,0.354,0.176,0.011
"bot ins","Bothriochloa insculpta","grass","9",999,28,1.83,0.139,1.475,0.367,0.19,0.009
"cym cae","Cymbopogon caesius","grass","9",999,28,2.28,0.174,1.204,0.542,0.162,0.006
"har sch","Harpachne schimperi","grass","9",999,14,1.57,0.216,1.203,0.3,0.144,0.012
"meg max","Megathyrsus maximus","grass","9",999,11,2.14,0.289,2.881,0.311,0.284,0.013
"lou aru","Loudetia arundinacea","grass","9",999,10,1.21,0.185,1.443,0.17,0.165,0.006
"era cil","Eragrostis cilianensis","grass","9",999,7,1.67,0.23,1.747,0.329,0.141,0.015
"ind vol","Indigofera volkensii","forb","9",999,7,2.48,0.153,1.308,6.048,0.907,0.008
"dig aby","Digitaria abyssinica","grass","9",999,6,2.13,0.298,2.974,0.29,0.23,0.01
"dig mac","Digitaria macroblephara","grass","9",999,6,1.75,0.237,2.883,0.353,0.332,0.009
"ari pil","Aristida pilgeri","grass","9",999,4,1.29,0.173,1.045,0.177,0.131,0.01
